id-mapa,anio,mes,dia,fecha,franja,tipo,subtipo,uso_arma,uso_moto,barrio,comuna,latitud,longitud,cantidad
856590,2022,MAYO,JUEVES,2022-05-26,18.0,Vialidad,Lesiones por siniestros viales,NO,NO,PALERMO,14.0,-34.576628,-58.431072,1
16831,2022,MAYO,MIERCOLES,2022-05-25,15.0,Hurto,Hurto total,NO,NO,SAN NICOLAS,1.0,-34.609077,-58.389179,1
94799,2022,MAYO,SABADO,2022-05-07,11.0,Hurto,Hurto total,NO,NO,FLORESTA,10.0,-34.629328,-58.478251,1
22902,2022,ENERO,MIERCOLES,2022-01-12,15.0,Hurto,Hurto total,NO,NO,BARRACAS,4.0,-34.638464,-58.372517,1
82672,2022,AGOSTO,SABADO,2022-08-06,13.0,Robo,Robo total,NO,NO,BALVANERA,3.0,-34.610515,-58.399037,1
62269,2022,JULIO,VIERNES,2022-07-29,11.0,Hurto,Hurto total,NO,NO,CABALLITO,6.0,-34.619018,-58.441325,1
926853,2022,DICIEMBRE,SABADO,2022-12-17,19.0,Amenazas,Amenazas,NO,NO,VILLA LUGANO,8.0,-34.665518,-58.478087,1
994267,2022,MARZO,LUNES,2022-03-28,10.0,Amenazas,Amenazas,NO,NO,PATERNAL,15.0,-34.599723,-58.473313,1
36270,2022,DICIEMBRE,MARTES,2022-12-13,13.0,Robo,Robo total,NO,NO,SAN NICOLAS,1.0,-34.60256,-58.38189,1
96043,2022,JUNIO,DOMINGO,2022-06-19,1.0,Hurto,Hurto total,NO,NO,PALERMO,14.0,-34.588753,-58.430211,1
84518,2022,FEBRERO,LUNES,2022-02-28,15.0,Robo,Robo total,NO,SI,VILLA PUEYRREDON,12.0,-34.571281,-58.506922,1
78857,2022,JULIO,DOMINGO,2022-07-31,6.0,Hurto,Hurto total,NO,NO,SAN TELMO,1.0,-34.616498,-58.375933,1
91085,2022,JUNIO,JUEVES,2022-06-23,15.0,Hurto,Hurto total,NO,NO,SAN NICOLAS,1.0,-34.602989,-58.369934,1
30426,2022,AGOSTO,MIERCOLES,2022-08-31,20.0,Robo,Robo total,NO,NO,PALERMO,14.0,-34.58157839,-58.41698483,1
90555,2022,SEPTIEMBRE,MIERCOLES,2022-09-28,18.0,Hurto,Hurto total,NO,NO,MONSERRAT,1.0,-34.610551,-58.389056,1
101226,2022,MARZO,DOMINGO,2022-03-06,19.0,Robo,Robo total,SI,NO,BELGRANO,13.0,-34.55879727,-58.45796,1
100088,2022,MARZO,VIERNES,2022-03-25,21.0,Hurto,Hurto total,NO,NO,BELGRANO,13.0,-34.560658,-58.449536,1
7453,2022,DICIEMBRE,SABADO,2022-12-17,2.0,Hurto,Hurto total,NO,NO,VILLA CRESPO,15.0,-34.60162761,-58.44405548,1
20150,2022,SEPTIEMBRE,VIERNES,2022-09-23,18.0,Hurto,Hurto total,NO,NO,CABALLITO,6.0,-34.608554,-58.432168,1
98521,2022,JULIO,JUEVES,2022-07-07,21.0,Hurto,Hurto total,NO,NO,FLORES,7.0,-34.636049,-58.469583,1
993901,2022,MAYO,VIERNES,2022-05-13,17.0,Amenazas,Amenazas,NO,NO,BALVANERA,3.0,-34.600074,-58.407327,1
103268,2022,MAYO,SABADO,2022-05-07,17.0,Hurto,Hurto total,NO,NO,SAN NICOLAS,1.0,-34.609192,-58.39056,1
75455,2022,OCTUBRE,DOMINGO,2022-10-09,12.0,Hurto,Hurto total,NO,NO,CABALLITO,6.0,-34.627185,-58.438868,1
20312,2022,JULIO,VIERNES,2022-07-08,8.0,Hurto,Hurto total,NO,NO,NUÑEZ,13.0,-34.538472,-58.470484,1
93928,2022,NOVIEMBRE,JUEVES,2022-11-17,18.0,Robo,Robo total,NO,NO,PALERMO,14.0,-34.589151,-58.410375,1
974875,2022,JULIO,JUEVES,2022-07-28,18.0,Amenazas,Amenazas,NO,NO,MONSERRAT,1.0,-34.616603,-58.383479,1
876492,2022,ABRIL,DOMINGO,2022-04-10,19.0,Vialidad,Lesiones por siniestros viales,NO,NO,VILLA CRESPO,15.0,-34.603956,-58.448603,1
48486,2022,AGOSTO,LUNES,2022-08-29,5.0,Robo,Robo total,SI,NO,VILLA SOLDATI,8.0,-34.653706,-58.435175,1
37177,2022,NOVIEMBRE,MARTES,2022-11-01,0.0,Hurto,Hurto total,NO,NO,VILLA CRESPO,15.0,-34.603936,-58.445088,1
1011328,2022,SEPTIEMBRE,MIERCOLES,2022-09-14,14.0,Amenazas,Amenazas,NO,NO,VILLA URQUIZA,12.0,-34.575983,-58.48513,1
986294,2022,ENERO,DOMINGO,2022-01-30,2.0,Lesiones,Lesiones Dolosas,NO,NO,BALVANERA,3.0,-34.606634,-58.407328,1
75487,2022,JULIO,VIERNES,2022-07-01,11.0,Robo,Robo total,NO,SI,CABALLITO,6.0,-34.629581,-58.444479,1
849307,2022,OCTUBRE,LUNES,2022-10-24,19.0,Vialidad,Lesiones por siniestros viales,NO,NO,VILLA PUEYRREDON,12.0,-34.58290979,-58.49101624,1
1855,2022,NOVIEMBRE,VIERNES,2022-11-18,23.0,Robo,Robo total,NO,NO,BALVANERA,3.0,-34.604082,-58.411747,1
74459,2022,OCTUBRE,MIERCOLES,2022-10-05,8.0,Hurto,Hurto total,NO,NO,VILLA DEL PARQUE,11.0,-34.60083673,-58.49622327,1
53613,2022,MARZO,MARTES,2022-03-15,17.0,Hurto,Hurto total,NO,NO,PATERNAL,15.0,-34.598488,-58.456574,1
99641,2022,OCTUBRE,LUNES,2022-10-03,14.0,Robo,Robo total,NO,NO,FLORESTA,10.0,-34.633469,-58.475194,1
93729,2022,DICIEMBRE,JUEVES,2022-12-01,18.0,Robo,Robo total,NO,NO,VILLA CRESPO,15.0,-34.595323,-58.432748,1
10852,2022,AGOSTO,SABADO,2022-08-20,4.0,Robo,Robo total,NO,NO,VILLA LUGANO,8.0,-34.683745,-58.465164,1
32564,2022,JULIO,SABADO,2022-07-30,2.0,Robo,Robo total,SI,NO,SAN TELMO,1.0,-34.624033,-58.366631,1
1014737,2022,SEPTIEMBRE,MARTES,2022-09-27,13.0,Amenazas,Amenazas,NO,NO,BELGRANO,13.0,-34.56527,-58.462234,1
948560,2022,FEBRERO,LUNES,2022-02-14,1.0,Lesiones,Lesiones Dolosas,NO,NO,BARRACAS,4.0,-34.637331,-58.374945,1
929320,2022,AGOSTO,SABADO,2022-08-27,19.0,Amenazas,Amenazas,NO,NO,PARQUE AVELLANEDA,9.0,-34.659729,-58.473862,1
31526,2022,SEPTIEMBRE,MARTES,2022-09-20,15.0,Robo,Robo total,NO,NO,RECOLETA,2.0,-34.598756,-58.392013,1
85602,2022,FEBRERO,MIERCOLES,2022-02-02,19.0,Hurto,Hurto total,NO,NO,VILLA URQUIZA,12.0,-34.568888,-58.488391,1
48381,2022,FEBRERO,JUEVES,2022-02-17,6.0,Hurto,Hurto total,NO,NO,PARQUE AVELLANEDA,9.0,-34.653135,-58.474735,1
94669,2022,OCTUBRE,MIERCOLES,2022-10-26,15.0,Hurto,Hurto total,NO,NO,BOCA,4.0,-34.626589,-58.364062,1
